id,track,format,type,session_code,session_name,duration,presence,title,authors,abstract,paper_url,video_url,slides_url,image_url,image_credit,problems,location
11,paper,oral,long,papers-3,Body and Motion,15,remote,Simulated EEG-Driven Audio Information Mapping Using Inner Hair-Cell Model and Spiking Neural Network,Pasquale Mainolfi,"This study presents a framework for mapping audio information into simulated neural signals and dynamic control maps. The system is based on a biologically-inspired architecture that traces the sound pathway from the cochlea to the auditory cortex. The system transforms acoustic features into neural representations by integrating Meddis's Inner Hair-Cell (IHC) model with spiking neural networks (SNN). The mapping process occurs in three phases: the IHC model converts sound waves into neural impulses, simulating hair cell mechano-electrical transduction. These impulses are then encoded into spatio-temporal patterns through an Izhikevich-based neural network, where spike-timing-dependent plasticity (STDP) mechanisms enable the emergence of activation structures reflecting the acoustic information's complexity. Finally, these patterns are mapped into both EEG-like signals and continuous control maps for real-time interactive performance control. This approach bridges neural dynamics and signal processing, offering a new paradigm for sound information representation. The generated control maps provide a natural interface between acoustic and parametric domains, enabling applications from generative sound design to adaptive performance control, where neuromorphological sound translation explores new forms of audio-driven interaction.",nime2025_11.pdf,,,11.jpg,,,
107,paper,oral,short,papers-3,Body and Motion,5,remote,EMMA: Enhancing Real-Time Musical Expression through Electromyographic Control,João  Coimbra; Luís Aly; Henrique  Portovedo; Sara Carvalho; Tiago  Bolaños,"This paper presents the Electromyographic Music Avatar (EMMA), a digital musical instrument (DMI) designed to enhance real-time sound-based composition through gestural control. Developed as part of a doctoral research project, EMMA combines electromyography (EMG) and motion sensors to capture nuanced finger, hand, and arm movements, treating each finger as an independent instrument. This approach bridges embodied performance with computational sound generation, enabling expressive and intuitive interaction. The system features a glove-based design with EMG sensors for each finger and motion detection for the wrist and arm, allowing seamless control of musical parameters. By addressing key challenges in DMI design, such as action-sound immediacy and performer-instrument dynamics, EMMA contributes to developing expressive and adaptable tools for contemporary music-making.",nime2025_107.pdf,,,107.jpg,,,
129,paper,oral,long,papers-3,Body and Motion,15,in person,Aquapella- Gestural Interactions with Liquid Turbulence as Musical Expression,John Lettang; August Black,"The Aquapella is a hand-held gestural instrument for exploring the unique relationship of liquid turbulence and musical expression. The device consists of eight conductive water-level sensors in a custom 3D printed container. As a musician moves the device, it generates a chaotic flow of water within the container and translates the motion into real-time midi signals for audio-visual interpretation. In our initial performances and tests with the Aquapella, we have focused on turning the flowing characteristics of the device into ambient and glitch soundscapes that move between noise and harmonics. We present the primary findings in developing the Aquapella including related works, description of the project development, and ideas for future iterations.",nime2025_129.pdf,,,129.jpg,,,
229,paper,oral,medium,papers-3,Body and Motion,10,remote,From Performance to Installation: How Interactive Reinforcement Learning Reframes the Roles of Performers and Audiences,Danny Perreault; Victor Drouin-Trempe; Vincent Cusson; David Drouin; Sofian Audry;,"This paper explores how interactive reinforcement learning (IRL) reconfigures the roles of performers and audiences in audiovisual performance and immersive installation. We adapt the Co-Explorer (a software tool originally developed for musical co-creation) to audiovisual immersive contexts and examine its creative potential using a reflexive research-creation approach. Our study reveals how IRL splits the role of the performer into three distinct positions: (1) the designer, who defines the parametric space; (2) the guide, who reinforces the agent’s behavior; and (3) the machine performer, whose actions are shaped by interactive training. As IRL introduces agency into the creative process, it transforms traditional notions of authorship and control, enabling unexpected emergent outcomes. By showcasing an interactive installation/performance, we further explore how audiences contribute to collective creation through reinforcement-based interaction. Our findings underscore the challenges of balancing the temporality of IRL with the demands of public-facing works and of adapting RL-based systems to different exhibition contexts. Our work contributes to the discourse on co-creative systems, emphasizing the evolving roles of artists, artificial agents, and audiences in hybrid creative ecosystems.",nime2025_229.pdf,,,229.jpg,,,
10,paper,oral,long,papers-4,"Environment, Sustainability, Longevity",15,in person,Looping slowly: Diffraction through the lens of nostalgia,Benedict Gaster; Nathan Renney; Jasmine Butt,"This paper concerns magnetic tape and the nostalgia of media, finding new relevance in old technology, remaking and adapting practices to fit within a modern workflow. Pushing against the driving force of economic structures, which emphasises a continuous cycle of replacement, musicians and instrument designers are drawing on a shared history to create new pieces of art and machines. This can be read as reflecting NIME's Code of Practice and, more generally, the unfolding climate crisis. For some, NIME may convey a focus on new musical instruments, but here, we focus on the notion of new through the diffracted lens of the old. Defined in recent NIME conferences by zooming in on the 'O' in NIME through the importance of reusing and repurposing old musical instruments and, in our case, old practices and processes. This paper considers magnetic tape and the machines that process it as the material and instrument. Following a survey, we present a diffracted reading through an intra-related process of how musicians, producers, and others who work with audio integrate tape into their practice. Drawing on post-humanist theories, we explore how slowness, community, and the old can inform NIME as a methodology. It provides insight for NIME to continue moving forward while focusing, through its Code of Practice, on sustainability, connection with our past, our history, years of artistic practice, and workflows that are not simply optimised for efficiency or the new.",nime2025_10.pdf,,,10.jpg,,,
90,paper,oral,medium,papers-4,"Environment, Sustainability, Longevity",10,Does not know yet,Longevity of Deep Generative Models in NIME: Challenges and Practices for Reactivation,Isaac Clarke; Francesco Ardan  Dal Rí; Raul Masu,"In this paper, we present an investigation into the longevity, reproducibility, and documentation quality of Deep Generative Models (DGMs) introduced in previous editions of the NIME conference. We begin by assessing whether DGM presented at NIME are still available in terms of code, data, and weights; afterward, we present the recreation process of seven unavailable models, to the end of investigation of the issues related to longevity and documentation. We examine the availability and completeness of resources needed to recreate DGM models, and discuss specific challenges encountered during such recreation. Drawing from  this experience, we highlight key obstacles that hinder the long-term viability and reuse of DGMs in the NIME context, and propose guidelines to improve their documentation and future reuse within the community.",nime2025_90.pdf,,,90.jpg,,,
96,paper,oral,long,papers-4,"Environment, Sustainability, Longevity",15,in person,Embodying Sustainability: Paving Opportunities for NIME Research,Xinran Chen; Iurii Kuzmin; Mela Bettega; Raul Masu,"While sustainability has gained attention in NIME research, primarily focusing on instrument longevity and durability, the role musical interfaces play in promoting environmental awareness remains unexplored. This paper investigates how musical interfaces can foster sustainability through designing embodied experiences. We present a literature review that examines the integration of sustainability and embodiment in sonic interaction, in which we synthesize practical points on how sound, materials, data, and interactions can aesthetically support embodying sustainability. We further explore these concepts through a design case study. Our findings suggest that embodied musical experiences offer unique opportunities to cultivate environmental consciousness, contributing to a deeper understanding of sustainable musical interfaces relying on artistic expressions.",nime2025_96.pdf,,,96.jpg,,,
153,paper,oral,short,papers-4,"Environment, Sustainability, Longevity",5,in person,Ongoing Production of a “Growing Instrument” Using Mycelium-Based Materials,Taisei GOTO; Kazuhiro JO,"This study explores “growing instruments” made from fungal mycelium, highlighting their natural unpredictability and role as musical instruments. Mycelium’s growth and interactions with the environment create unique features not found in traditional instruments. Positioned within non-human-centric approaches in design and art, the research emphasizes the mutual creation and interconnectedness of diverse actors. By shaping mycelium into tubes and adding recorder heads, playable flute-like instruments were created. However, their condition and playability were highly influenced by conditions such as temperature and humidity. The study emphasizes embracing uncertainty and suggests that these imperfections can offer new insights into musical instrument design.",nime2025_153.pdf,,,153.jpg,,,
39,paper,oral,long,papers-5,Machine Learning and Co-Creativity,15,in person,"Synthetic Ornithology: Machine learning, simulations and hyper-real soundscapes",Frederick Rodrigues,"This paper presents Synthetic Ornithology, an interactive sound-based installation that uses machine learning to simulate sonic representations of localised Australian ecological futures, extending work in soundscape composition to engage in a speculative domain. Central to Synthetic Ornithology is a bespoke ML model, Environmental Audio Generation for Localised Ecologies (EAGLE), capable of generating high-quality, birdsong-focused soundscapes, up to 23 seconds in length. This paper outlines the development of the installation and how its design aims to influence audience perception of the sonic content of the work, extending established practices in NIME and sonic arts to a parafictional approach, and hyperreal aesthetics. Additionally, the paper examines the design and capabilities of the EAGLE model, and reflecting on how generative tools are positioned within a creative context, re-imagines the technical processes of training and configuring ML models as sites of artistic authorship in an expanded creative audio practice.",nime2025_39.pdf,,,39.jpg,,,
131,paper,oral,long,papers-5,Machine Learning and Co-Creativity,15,in person,Touching Wires: tactility and a quilted musical interface for human-AI musical co-creation,Sandy Ma; Charles Patrick Martin,"Interactions with computers have traditionally been mediated by rigid materials, but as technology evolves, there is increasing potential to rethink these relationships. This paper explores how a soft, textile-based interface can reshape human-AI interaction, particularly in musical co-creation. We introduce a textile-based human-AI system used both for musical performance and public interaction. This system enables embodied, tactile engagement with an AI agent, offering users a more unique and participatory experience in human-AI musical co-creation. We aim to examine the potential for soft materiality to mediate more dynamic human-AI interactions. Our findings reveal that users’ choices when interacting with novel systems are informed by their expectations and biases, that embodied learning is built iteratively on layered multi-sensory experiences, and that there is a desire for familiarity and understanding when interacting with AI systems. We found that the materiality of our textile human-AI interfaces influenced how users choose to interact, and that users sought clarity in the AI’s role in collaborative creation. This work contributes to our understanding of how entanglement, embodiment, and materiality impact our relationships in human-AI collaborations.",nime2025_131.pdf,,,131.jpg,,,
160,paper,oral,long,papers-5,Machine Learning and Co-Creativity,15,in person,Adaptation and Perceived Creative Autonomy in Gesture-Controlled Interactive Music,Jason Smith; Jason Freeman,"With the variety and rapid pace of developments in Artificial Intelligence (AI), musicians can face difficulty when working with AI-based interfaces for musical expression as understanding and adaptation to AI behaviors takes time. In this paper, we explore the use of AI in an interactive music system designed to adapt to users as they learn to perform with it. We present GestAlt, an AI-based interactive music system that collaborates with a performer by analyzing their gestures and motion to generate audio changes. It uses computer vision, online machine learning, and reinforcement learning to adapt to a user's hand motion patterns and allow a user to communicate their musical goals to the system. It communicates its decision-making to the user through visualizations and its musical output. We conducted a study in which five musicians performed using this software over multiple sessions. Participants discussed how their preferences for the system’s behavior were influenced by their experiences as musicians, how adaptive reinforcement learning affected their expectations for the system’s autonomy, and how their perceptions of the system as a creatively autonomous, collaborative partner evolved as they learned how to perform with the system.",nime2025_160.pdf,,,160.jpg,,,
222,paper,oral,medium,papers-5,Machine Learning and Co-Creativity,10,in person,Gesture-Driven DDSP Synthesis for Digitizing the Chinese Erhu,Wenqi WU; Hanyu QU,"This paper presents a gesture-controlled digital Erhu system that merges traditional Chinese instrumental techniques with contemporary machine learning and interactive technologies. By leveraging the Erhu’s expressive techniques, we develop a dual-hand spatial interaction framework using real-time gesture tracking. Hand movement data is mapped to sound synthesis parameters to control pitch, timbre, and dynamics, while a differentiable digital signal processing (DDSP) model, trained on a custom Erhu dataset, transforms basic waveforms into authentic timbre which remians sincere to  the instrument’s nuanced articulations. The system bridges traditional musical aesthetics with digital interactivity, emulating Erhu bowing dynamics and expressive techniques through embodied interaction. The study contributes a novel framework for digitizing Erhu performance practices, explores methods to align culturally informed gestures with DDSP-based synthesis, and offers insights into preserving traditional instruments within digital music interfaces.",nime2025_222.pdf,,,222.jpg,,,
230,paper,oral,medium,papers-5,Machine Learning and Co-Creativity,10,in person,Enabling Embodied Music-Making for Non-Musicians,Lucía Montesínos; Halfdan Hauch Jensen; Anders Løvlie,"We present a Research through Design exploration of the potential for using tangible and embodied interactions to enable active music experiences - musicking - for non-musicians. We present the Tubularium prototype, which aims to facilitate music-making to non-musicians by not requiring any initial skill while still eliciting agency and overall, providing a meaningful experience. We present the design of the prototype and the features implemented and reflect on insights from a public event in which the prototype was trialed.",nime2025_230.pdf,,,230.jpg,,,
37,paper,oral,long,papers-6,Accessibility,15,remote,Chimera: Prototyping a New DMI for Congenital One-Handed Musicianship Through an Autoethnographic Lens,Mat Dalgleish,"Chimera is a Digital Musical Instrument (DMI) prototype developed through an autoethnographic lens. That is, a lens shaped by congenital one-handedness as well as extensive experience as both a disabled player of standard instruments and a designer of DMIs for other players. Leveraging Eurorack synthesizer modules as a flexible prototyping toolkit enables an iterative prototyping process that explores the distinctive possibilities of one-handed musicianship. Reflection on a three-month period of iteration and refinement highlights a series of design issues, but also the interconnectedness of physical impairments, and the difficulties of designing for a body in flux. Some directions for future work are outlined. Finally, by discussing the various entangled layers of this instrument prototype, and starting to tease out what Koutsomichalis calls its “stories of a sort”, this paper contributes an until now underrepresented perspective to the dialogue around accessible and inclusive musical instrument design, and disability and musicianship more broadly.",nime2025_37.pdf,,,37.jpg,,,
88,paper,oral,medium,papers-6,Accessibility,10,remote,The Slide-A-Phone: a Tactile Accessible Musical Instrument,Andrew McMillan; Fabio Morreale,"AMIs, Inclusive design, autobiographical design This paper details the design and development of the Slide-A-Phone, an Accessible Musical Instrument (AMI). The first author's spinal cord injury in 2004 hindered their ability to play traditional instruments, which motivated the development of the Slide-A-Phone. The Slide-A-Phone utilises tactile interfaces coupled with analogue and digital sensors to replicate the playability and expressive control of a saxophone, the instrument the first author used to play before the incident. The design process incorporated phenomenological perspectives and a blend of design methodologies, with the specific goal of fostering a robust musician-instrument relationship. We report insights into how personal experiences shape design and functionality and the importance of accessible instruments in enabling creative practice and performance for individuals with limited functionality. We also describe the design and technical implementation of the Slide-A-Phone evaluate the instrument's effectiveness and reflect on its potential to enhance musical engagement, social connections, cultural participation, and professional development.",nime2025_88.pdf,,,88.jpg,,,
187,paper,oral,medium,papers-6,Accessibility,10,in person,Designing Sensory NIME for Autism,Aditya Arora; Erica Tandori; James Marshall; Stuart Favilla,"This paper explores how sensory NIME design principles may inform the design of musical interfaces tailored for children with Autism Spectrum Disorder (ASD), focusing on their sensory processing challenges. Given the prevalence of sensory over-responsivity (SOR) and under-responsivity (SUR) in ASD, traditional sensory interventions often fail to accommodate the highly individualized and fluctuating sensory needs of autistic individuals. The authors highlight the potential for multisensory NIME to address the diverse range of sensory needs, promoting emotional regulation and sensory balance through new creative musical opportunities and activities. This paper presents research in the form of a narrative review and comparative case study of recent NIME and sensory intervention research, exploring emerging approaches, rhythm-based interventions, generative algorithms, play-centered designs and other possibilities for enhancing sensory engagement and emotional regulation. Drawing on insights from 30 recent NIME papers, this research explores the boundaries of current approaches and seeks to establish an understanding of multisensory NIME for ASD. The research underscores the profound variability in sensory profiles for ASD, necessitating a shift from clinician-directed interventions to creative, inclusive, multisensory solutions. Finally, a set of sensory NIME design principles are offered, emphasizing the importance of sensory perception, sensory equilibrium and the promotion of emotional regulation for ASD.",nime2025_187.pdf,,,187.jpg,,,
253,paper,oral,medium,papers-6,Accessibility,10,in person,The Sound Tree Project: Developing Personal and Collective Expression with Accessible Digital Musical Instruments,Steph OHara; Alon Ilsar,"The Sound Tree Project investigates how accessible digital musical instruments (ADMIs) can champion both personal and collective musical expression. Through a sustained six-month ethnographic engagement with five performers and two support artists, we explored how to create personalised instruments for a public per- formance outcome. The technical framework combined multiple wireless motion sensor devices placed inside different objects and the development of a real-time movement-to-sound pro- cessing hub within a live coding environment. The performance was centred on an accessible sound sculpture, the Sound Tree, where digital instruments coexisted with traditional sound mak- ing objects. Drawing from our shared process of experimentation, improvisation, and personalised instrument creation, we present some key ‘magic moments’ that were woven into the final perfor- mance and discuss how they might serve as evidence of personal expression and validation of the design process. The emergence of these moments demonstrate the value of real-time system adaptation in encouraging individual expression, the importance of sustained engagement in developing personalised instruments and having effective strategies for balancing personal and collec- tive music-making. These insights have implications in developing accessible mu- sic technology and broader approaches to designing technologies that support diverse forms of creative collaboration.",nime2025_253.pdf,,,253.jpg,,,
21,paper,oral,long,papers-7,Entangled NIME,15,remote,Entangling with Light and Shadow: layers of interaction with the pattern organ,Jasmine Butt; Benedict Gaster; Nathan Renney; Maisie Palmer,"This paper explores the design and use of a camera-based digital musical instrument as a thinking tool for considering entangled, post-human perspectives. The design of the pattern organ, inspired by experimental optical sound-on-film practices, employs a method of visual-to-audio synthesis that responds closely to the material behaviours captured by its camera input. Drawing on findings from exploratory workshops and short material experiments, we describe how interactions emerge and are shaped by both the physical configuration of the instrument and the material behaviours captured by its camera. We consider how frugal mappings and the ‘rawness’ of data can give rise to instruments whose inputs remain open to material complexity, extending the sound engine beyond their enclosures. In the case of the pattern organ, this complexity emerges through overlapping and interfering interactions, where structural forms, human influence, light, shadows, lens distortions, and system quirks all contribute to the shifting harmonic content of the wavetable. We reflect on the instrument as a fluid assemblage, composed of human and non-human entanglements, encouraging us to think beyond traditional notions of human-centred control.",nime2025_21.pdf,,,21.jpg,,,
75,paper,oral,long,papers-7,Entangled NIME,15,remote,(De)Constructing Timbre at NIME: Reflecting on Technology and Aesthetic Entanglements in Instrument Design,Charalampos Saitis; Courtney N. Reed; Ashley Laurent Noel-Hirst; Giacomo Lepri; Andrew McPherson,"Timbre, pitch, and timing are often relevant in digital musical instrument (DMI) design. Compared with the latter two, timbre is neither easy to define nor discretise when negotiating audio representations and gesture-sound mappings. We conduct a corpus assisted discourse analysis of ``timbre'' in all NIME proceedings to date (2001--2024). Combining this with a detailed review of 18 timbre-focused papers at NIME, we examine how definitions of timbre and timbre interaction methods are constructed through, for instance, Wessel's numerical timbre control space, synthesis tools and programming languages, machine learning and AI approaches, and other trends in digital lutherie practices. While acknowledging the practical utility of technical constructions of timbre in NIME (and other digital music research communities), we contribute discussion on the entanglement of technology and aesthetics in instrument design, which constitutes what ``timbre'' becomes in NIME research and reflect on the tension between technoscientific and constructivist understandings of timbre: how DMIs and musical practices have been reconstituted around particular timbral values operationalised in NIME. In response, we propose ways that the NIME community can embrace more critical approaches and awareness to how our methods and tools shape and co-create our notions of timbre, as well as other musical concepts, connecting more openly with diverse types of sonic phenomena.",nime2025_75.pdf,,,75.jpg,,,
295,paper,oral,long,papers-7,Entangled NIME,15,Does not know yet,Negotiating Entanglements in the Composition and Curation of an Ultrasonic Art Installation,Nicole Robson; Andrew  McPherson; Nick  Bryan-Kinns,"This paper explores the entangled activities of composing and curating the sound installation 'Sonographies' at a contemporary art gallery. The installation extends our work with an ultrasonic technology that sonifies and magnifies the physical entanglement of a listener with a spatial sound field to produce rich movement-sound interaction without the use of sensors. Taking a research through practice approach, we examine the process of creating 'Sonographies' while deliberately allowing the nonhuman influences of site and technology to inform creative ideation and decision-making. We propose that an attunement to entanglement foregrounds the co-production of aesthetic qualities by the entire musical assemblage and fosters a sensitivity to fragile and changeable qualities of NIMEs, contingent on specific technical, material and social situations.",nime2025_295.pdf,,,295.jpg,,,
